dataset_label,scenario_label,onset_time_s,ramp_duration_s,direction_label,offset_mode_label,position_offset_north_m,position_offset_east_m,position_offset_down_m,velocity_offset_north_mps,velocity_offset_east_mps,velocity_offset_down_mps,total_samples,spoof_labeled_samples,clean_labeled_samples,trusted_verdicts,flagged_verdicts,rejected_verdicts,anomaly_tpr,anomaly_fpr,rejected_tpr,rejected_fpr,first_spoof_labeled_sample_index,first_anomaly_sample_index,first_rejected_sample_index,samples_from_onset_to_first_anomaly,samples_from_onset_to_first_rejection,mean_evaluation_latency_us,p95_evaluation_latency_us,max_evaluation_latency_us
px4_turn,east_onset_2.0_ramp_2.5_pos,2.0,2.5,east,position_only,0.0,30.0,0.0,0.0,0.0,0.0,120,120,0,52,13,55,0.5666666666666667,0.0,0.4583333333333333,0.0,1,2,4,2,4,317.19010833333317,359.404,1996.922
px4_turn,east_onset_2.0_ramp_2.5_posvel,2.0,2.5,east,position_plus_velocity,0.0,30.0,0.0,0.0,9.0,0.0,120,120,0,0,0,120,1.0,0.0,1.0,0.0,1,1,1,1,1,340.04119166666663,418.90500000000003,764.2080000000001
px4_turn,northeast_onset_2.0_ramp_2.5_pos,2.0,2.5,northeast,position_only,21.213203,21.213203,0.0,0.0,0.0,0.0,120,120,0,56,11,53,0.5333333333333333,0.0,0.44166666666666665,0.0,1,2,4,2,4,383.42833333333334,568.4060000000001,2734.6290000000004
px4_turn,northeast_onset_2.0_ramp_2.5_posvel,2.0,2.5,northeast,position_plus_velocity,21.213203,21.213203,0.0,6.363961,6.363961,0.0,120,120,0,0,0,120,1.0,0.0,1.0,0.0,1,1,1,1,1,368.8081666666665,468.60499999999996,1064.712
px4_turn,northwest_onset_2.0_ramp_2.5_pos,2.0,2.5,northwest,position_only,21.213203,-21.213203,0.0,0.0,0.0,0.0,120,120,0,61,9,50,0.49166666666666664,0.0,0.4166666666666667,0.0,1,2,4,2,4,378.10827499999994,458.90500000000003,1052.311
px4_turn,northwest_onset_2.0_ramp_2.5_posvel,2.0,2.5,northwest,position_plus_velocity,21.213203,-21.213203,0.0,6.363961,-6.363961,0.0,120,120,0,0,0,120,1.0,0.0,1.0,0.0,1,1,1,1,1,358.9914,511.706,784.609
px4_turn,north_onset_2.0_ramp_5.0_pos,2.0,5.0,north,position_only,30.0,0.0,0.0,0.0,0.0,0.0,120,120,0,65,13,42,0.4583333333333333,0.0,0.35,0.0,1,11,14,11,14,333.67194999999987,427.40500000000003,1047.9109999999998
px4_turn,north_onset_2.0_ramp_5.0_posvel,2.0,5.0,north,position_plus_velocity,30.0,0.0,0.0,9.0,0.0,0.0,120,120,0,2,5,113,0.9833333333333333,0.0,0.9416666666666667,0.0,1,3,8,3,8,354.94052499999987,474.805,707.1080000000001
px4_turn,east_onset_2.0_ramp_5.0_pos,2.0,5.0,east,position_only,0.0,30.0,0.0,0.0,0.0,0.0,120,120,0,61,14,45,0.49166666666666664,0.0,0.375,0.0,1,11,14,11,14,311.81752500000005,448.005,516.9060000000001
px4_turn,east_onset_2.0_ramp_5.0_posvel,2.0,5.0,east,position_plus_velocity,0.0,30.0,0.0,0.0,9.0,0.0,120,120,0,2,5,113,0.9833333333333333,0.0,0.9416666666666667,0.0,1,3,8,3,8,349.19627499999996,444.405,742.608
px4_turn,northeast_onset_2.0_ramp_5.0_pos,2.0,5.0,northeast,position_only,21.213203,21.213203,0.0,0.0,0.0,0.0,120,120,0,65,12,43,0.4583333333333333,0.0,0.35833333333333334,0.0,1,11,14,11,14,354.3088333333331,483.305,905.01
px4_turn,northeast_onset_2.0_ramp_5.0_posvel,2.0,5.0,northeast,position_plus_velocity,21.213203,21.213203,0.0,6.363961,6.363961,0.0,120,120,0,2,5,113,0.9833333333333333,0.0,0.9416666666666667,0.0,1,3,8,3,8,343.1770333333333,428.005,650.4069999999999
px4_turn,northwest_onset_2.0_ramp_5.0_pos,2.0,5.0,northwest,position_only,21.213203,-21.213203,0.0,0.0,0.0,0.0,120,120,0,70,10,40,0.4166666666666667,0.0,0.3333333333333333,0.0,1,11,14,11,14,328.14189999999996,385.704,527.005
px4_turn,northwest_onset_2.0_ramp_5.0_posvel,2.0,5.0,northwest,position_plus_velocity,21.213203,-21.213203,0.0,6.363961,-6.363961,0.0,120,120,0,2,5,113,0.9833333333333333,0.0,0.9416666666666667,0.0,1,3,8,3,8,336.4694749999999,439.305,1643.318
px4_turn,north_onset_2.0_ramp_10.0_pos,2.0,10.0,north,position_only,30.0,0.0,0.0,0.0,0.0,0.0,120,120,0,76,24,20,0.36666666666666664,0.0,0.16666666666666666,0.0,1,22,35,22,35,351.17379999999997,453.205,821.2090000000001
px4_turn,north_onset_2.0_ramp_10.0_posvel,2.0,10.0,north,position_plus_velocity,30.0,0.0,0.0,9.0,0.0,0.0,120,120,0,27,0,93,0.775,0.0,0.775,0.0,1,28,28,28,28,318.00843333333324,412.605,588.406
px4_turn,east_onset_2.0_ramp_10.0_pos,2.0,10.0,east,position_only,0.0,30.0,0.0,0.0,0.0,0.0,120,120,0,72,21,27,0.4,0.0,0.225,0.0,1,22,32,22,32,296.39320833333323,343.504,892.01
px4_turn,east_onset_2.0_ramp_10.0_posvel,2.0,10.0,east,position_plus_velocity,0.0,30.0,0.0,0.0,9.0,0.0,120,120,0,42,0,78,0.65,0.0,0.65,0.0,1,25,25,25,25,287.20478333333324,345.004,374.004
px4_turn,northeast_onset_2.0_ramp_10.0_pos,2.0,10.0,northeast,position_only,21.213203,21.213203,0.0,0.0,0.0,0.0,120,120,0,76,20,24,0.36666666666666664,0.0,0.2,0.0,1,22,33,22,33,308.8066833333333,377.30400000000003,544.606
px4_turn,northeast_onset_2.0_ramp_10.0_posvel,2.0,10.0,northeast,position_plus_velocity,21.213203,21.213203,0.0,6.363961,6.363961,0.0,120,120,0,25,0,95,0.7916666666666666,0.0,0.7916666666666666,0.0,1,26,26,26,26,274.65465000000006,338.00300000000004,1295.514
px4_turn,northwest_onset_2.0_ramp_10.0_pos,2.0,10.0,northwest,position_only,21.213203,-21.213203,0.0,0.0,0.0,0.0,120,120,0,82,28,10,0.31666666666666665,0.0,0.08333333333333333,0.0,1,23,40,23,40,303.92162499999995,373.804,958.01
px4_turn,northwest_onset_2.0_ramp_10.0_posvel,2.0,10.0,northwest,position_plus_velocity,21.213203,-21.213203,0.0,6.363961,-6.363961,0.0,120,120,0,32,0,88,0.7333333333333333,0.0,0.7333333333333333,0.0,1,33,33,33,33,340.3803416666666,467.90500000000003,890.109
px4_turn,north_onset_2.0_ramp_20.0_pos,2.0,20.0,north,position_only,30.0,0.0,0.0,0.0,0.0,0.0,120,120,0,120,0,0,0.0,0.0,0.0,0.0,1,,,,,329.6743749999999,431.405,523.906
px4_turn,north_onset_2.0_ramp_20.0_posvel,2.0,20.0,north,position_plus_velocity,30.0,0.0,0.0,9.0,0.0,0.0,120,120,0,120,0,0,0.0,0.0,0.0,0.0,1,,,,,328.1910166666667,399.404,937.611
px4_turn,east_onset_2.0_ramp_20.0_pos,2.0,20.0,east,position_only,0.0,30.0,0.0,0.0,0.0,0.0,120,120,0,120,0,0,0.0,0.0,0.0,0.0,1,,,,,341.583675,452.70500000000004,1129.312
px4_turn,east_onset_2.0_ramp_20.0_posvel,2.0,20.0,east,position_plus_velocity,0.0,30.0,0.0,0.0,9.0,0.0,120,120,0,120,0,0,0.0,0.0,0.0,0.0,1,,,,,330.4702166666668,400.104,1514.716
px4_turn,northeast_onset_2.0_ramp_20.0_pos,2.0,20.0,northeast,position_only,21.213203,21.213203,0.0,0.0,0.0,0.0,120,120,0,120,0,0,0.0,0.0,0.0,0.0,1,,,,,330.27854999999994,372.104,684.808
px4_turn,northeast_onset_2.0_ramp_20.0_posvel,2.0,20.0,northeast,position_plus_velocity,21.213203,21.213203,0.0,6.363961,6.363961,0.0,120,120,0,120,0,0,0.0,0.0,0.0,0.0,1,,,,,318.1950916666664,390.104,544.706
px4_turn,northwest_onset_2.0_ramp_20.0_pos,2.0,20.0,northwest,position_only,21.213203,-21.213203,0.0,0.0,0.0,0.0,120,120,0,120,0,0,0.0,0.0,0.0,0.0,1,,,,,327.8735249999999,420.50399999999996,1283.113
px4_turn,northwest_onset_2.0_ramp_20.0_posvel,2.0,20.0,northwest,position_plus_velocity,21.213203,-21.213203,0.0,6.363961,-6.363961,0.0,120,120,0,109,11,0,0.09166666666666666,0.0,0.0,0.0,1,110,,110,,322.8609666666664,424.805,656.807
px4_turn,north_onset_4.0_ramp_0.0_pos,4.0,0.0,north,position_only,30.0,0.0,0.0,0.0,0.0,0.0,120,112,8,63,10,47,0.5089285714285714,0.0,0.41964285714285715,0.0,9,9,9,1,1,331.90524166666654,421.705,458.605
px4_turn,north_onset_4.0_ramp_0.0_posvel,4.0,0.0,north,position_plus_velocity,30.0,0.0,0.0,8.0,0.0,0.0,120,112,8,8,0,112,1.0,0.0,1.0,0.0,9,9,9,1,1,350.5954416666665,506.306,831.209
px4_turn,east_onset_4.0_ramp_0.0_pos,4.0,0.0,east,position_only,0.0,30.0,0.0,0.0,0.0,0.0,120,112,8,59,11,50,0.5446428571428571,0.0,0.44642857142857145,0.0,9,9,9,1,1,310.02331666666663,413.204,870.709
px4_turn,east_onset_4.0_ramp_0.0_posvel,4.0,0.0,east,position_plus_velocity,0.0,30.0,0.0,0.0,8.0,0.0,120,112,8,8,0,112,1.0,0.0,1.0,0.0,9,9,9,1,1,314.9908583333333,393.604,636.307
px4_turn,northeast_onset_4.0_ramp_0.0_pos,4.0,0.0,northeast,position_only,21.213203,21.213203,0.0,0.0,0.0,0.0,120,112,8,63,9,48,0.5089285714285714,0.0,0.42857142857142855,0.0,9,9,9,1,1,314.74754999999993,426.30499999999995,766.008
px4_turn,northeast_onset_4.0_ramp_0.0_posvel,4.0,0.0,northeast,position_plus_velocity,21.213203,21.213203,0.0,5.656854,5.656854,0.0,120,112,8,8,0,112,1.0,0.0,1.0,0.0,9,9,9,1,1,321.50178333333315,371.704,890.61
px4_turn,northwest_onset_4.0_ramp_0.0_pos,4.0,0.0,northwest,position_only,21.213203,-21.213203,0.0,0.0,0.0,0.0,120,112,8,68,7,45,0.4642857142857143,0.0,0.4017857142857143,0.0,9,9,9,1,1,265.32368333333335,350.30400000000003,474.40500000000003
px4_turn,northwest_onset_4.0_ramp_0.0_posvel,4.0,0.0,northwest,position_plus_velocity,21.213203,-21.213203,0.0,5.656854,-5.656854,0.0,120,112,8,8,0,112,1.0,0.0,1.0,0.0,9,9,9,1,1,295.45149999999984,382.904,1054.212
px4_turn,north_onset_4.0_ramp_1.0_pos,4.0,1.0,north,position_only,30.0,0.0,0.0,0.0,0.0,0.0,120,112,8,66,11,43,0.48214285714285715,0.0,0.38392857142857145,0.0,9,12,13,4,5,302.5457416666667,385.104,600.206
px4_turn,north_onset_4.0_ramp_1.0_posvel,4.0,1.0,north,position_plus_velocity,30.0,0.0,0.0,9.0,0.0,0.0,120,112,8,10,1,109,0.9821428571428571,0.0,0.9732142857142857,0.0,9,11,12,3,4,332.192725,462.905,567.606
px4_turn,east_onset_4.0_ramp_1.0_pos,4.0,1.0,east,position_only,0.0,30.0,0.0,0.0,0.0,0.0,120,112,8,62,12,46,0.5178571428571429,0.0,0.4107142857142857,0.0,9,12,13,4,5,322.84096666666665,401.404,861.709
px4_turn,east_onset_4.0_ramp_1.0_posvel,4.0,1.0,east,position_plus_velocity,0.0,30.0,0.0,0.0,9.0,0.0,120,112,8,10,1,109,0.9821428571428571,0.0,0.9732142857142857,0.0,9,11,12,3,4,329.53685833333316,415.30400000000003,830.6089999999999
px4_turn,northeast_onset_4.0_ramp_1.0_pos,4.0,1.0,northeast,position_only,21.213203,21.213203,0.0,0.0,0.0,0.0,120,112,8,66,10,44,0.48214285714285715,0.0,0.39285714285714285,0.0,9,12,13,4,5,332.71773333333346,441.105,956.4110000000001
px4_turn,northeast_onset_4.0_ramp_1.0_posvel,4.0,1.0,northeast,position_plus_velocity,21.213203,21.213203,0.0,6.363961,6.363961,0.0,120,112,8,10,1,109,0.9821428571428571,0.0,0.9732142857142857,0.0,9,11,12,3,4,306.6974500000002,365.404,1016.4110000000001
px4_turn,northwest_onset_4.0_ramp_1.0_pos,4.0,1.0,northwest,position_only,21.213203,-21.213203,0.0,0.0,0.0,0.0,120,112,8,71,8,41,0.4375,0.0,0.36607142857142855,0.0,9,12,13,4,5,339.74197499999985,495.205,853.909
px4_turn,northwest_onset_4.0_ramp_1.0_posvel,4.0,1.0,northwest,position_plus_velocity,21.213203,-21.213203,0.0,6.363961,-6.363961,0.0,120,112,8,10,1,109,0.9821428571428571,0.0,0.9732142857142857,0.0,9,11,12,3,4,344.1836916666664,446.105,957.7099999999999
px4_turn,north_onset_4.0_ramp_2.5_pos,4.0,2.5,north,position_only,30.0,0.0,0.0,0.0,0.0,0.0,120,112,8,70,12,38,0.44642857142857145,0.0,0.3392857142857143,0.0,9,16,18,8,10,344.8770416666666,495.305,861.11
px4_turn,north_onset_4.0_ramp_2.5_posvel,4.0,2.5,north,position_plus_velocity,30.0,0.0,0.0,9.0,0.0,0.0,120,112,8,13,2,105,0.9553571428571429,0.0,0.9375,0.0,9,14,16,6,8,300.7265499999998,390.704,595.907
px4_turn,east_onset_4.0_ramp_2.5_pos,4.0,2.5,east,position_only,0.0,30.0,0.0,0.0,0.0,0.0,120,112,8,66,13,41,0.48214285714285715,0.0,0.36607142857142855,0.0,9,16,18,8,10,295.2631750000001,367.504,455.905
px4_turn,east_onset_4.0_ramp_2.5_posvel,4.0,2.5,east,position_plus_velocity,0.0,30.0,0.0,0.0,9.0,0.0,120,112,8,13,2,105,0.9553571428571429,0.0,0.9375,0.0,9,14,16,6,8,276.17211666666657,339.403,549.606
px4_turn,northeast_onset_4.0_ramp_2.5_pos,4.0,2.5,northeast,position_only,21.213203,21.213203,0.0,0.0,0.0,0.0,120,112,8,70,11,39,0.44642857142857145,0.0,0.3482142857142857,0.0,9,16,18,8,10,277.6271416666668,360.00399999999996,542.206
px4_turn,northeast_onset_4.0_ramp_2.5_posvel,4.0,2.5,northeast,position_plus_velocity,21.213203,21.213203,0.0,6.363961,6.363961,0.0,120,112,8,13,2,105,0.9553571428571429,0.0,0.9375,0.0,9,14,16,6,8,301.04738333333324,365.504,558.906
px4_turn,northwest_onset_4.0_ramp_2.5_pos,4.0,2.5,northwest,position_only,21.213203,-21.213203,0.0,0.0,0.0,0.0,120,112,8,75,9,36,0.4017857142857143,0.0,0.32142857142857145,0.0,9,16,18,8,10,315.0666833333333,371.704,682.708
px4_turn,northwest_onset_4.0_ramp_2.5_posvel,4.0,2.5,northwest,position_plus_velocity,21.213203,-21.213203,0.0,6.363961,-6.363961,0.0,120,112,8,13,2,105,0.9553571428571429,0.0,0.9375,0.0,9,14,16,6,8,299.2923833333332,362.804,645.807
px4_turn,north_onset_4.0_ramp_5.0_pos,4.0,5.0,north,position_only,30.0,0.0,0.0,0.0,0.0,0.0,120,112,8,75,15,30,0.4017857142857143,0.0,0.26785714285714285,0.0,9,21,26,13,18,326.50349999999986,383.604,932.91
px4_turn,north_onset_4.0_ramp_5.0_posvel,4.0,5.0,north,position_plus_velocity,30.0,0.0,0.0,9.0,0.0,0.0,120,112,8,31,7,82,0.7946428571428571,0.0,0.7321428571428571,0.0,9,25,39,17,31,315.6967333333334,402.904,763.308
px4_turn,east_onset_4.0_ramp_5.0_pos,4.0,5.0,east,position_only,0.0,30.0,0.0,0.0,0.0,0.0,120,112,8,71,15,34,0.4375,0.0,0.30357142857142855,0.0,9,21,25,13,17,307.2658083333334,429.205,567.106
