dataset_label,profile_label,family,source_basis,description,total_samples,spoof_labeled_samples,trusted_verdicts,flagged_verdicts,rejected_verdicts,anomaly_tpr,anomaly_fpr,rejected_tpr,rejected_fpr,first_anomaly_sample_index,first_rejected_sample_index,samples_from_onset_to_first_anomaly,samples_from_onset_to_first_rejection,mean_evaluation_latency_us,p95_evaluation_latency_us,max_evaluation_latency_us
px4_climb,texbat_ds1_static_takeover,TEXBAT-like,TEXBAT static receiver spoofing battery category,abrupt navigation-solution takeover with a large horizontal offset,120,105,15,0,105,1.0,0.0,1.0,0.0,16,16,1,1,303.2,384.70000000000005,420.59999999999997
px4_climb,texbat_ds2_overpowered_time_push,TEXBAT-like,TEXBAT ds2-style overpowered carry-off/time-push category,position and receiver-clock error ramp together after takeover,120,104,26,3,91,0.9038461538461539,0.0,0.875,0.0,27,30,11,14,282.7516666666666,381.4,434.2
px4_climb,texbat_ds3_matched_power_slow_carryoff,TEXBAT-like,TEXBAT ds3-style gradual low-magnitude carry-off category,slow coherent position and clock drift intended to stay under one-shot thresholds,120,104,39,0,81,0.7788461538461539,0.0,0.7788461538461539,0.0,40,40,24,24,305.5075,379.0,430.5
px4_climb,texbat_ds7_phase_aligned_time_push,TEXBAT-like,TEXBAT ds7-style subtle phase-aligned time-push category,small position drift paired with persistent receiver-clock bias,120,104,48,0,72,0.6923076923076923,0.0,0.6923076923076923,0.0,49,49,33,33,300.99083333333334,360.59999999999997,385.4
px4_climb,uav_sdr_takeover_30m_10s,UAV attack dataset-like,public UAV attack dataset / GPS-SDR-SIM + SDR spoofing category,moderate carry-off similar to a software-defined spoofer takeover,120,104,25,0,95,0.9134615384615384,0.0,0.9134615384615384,0.0,26,26,10,10,294.15000000000003,363.90000000000003,386.3
px4_climb,uav_freeze_or_hold_last_fix,UAV attack dataset-like,GPS disruption followed by stale or held navigation solution category,GPS position is frozen at spoof onset while the inertial reference keeps moving,120,105,42,0,78,0.7428571428571429,0.0,0.7428571428571429,0.0,43,43,28,28,261.90500000000003,266.20000000000005,401.2
px4_climb,nav_wrong_turn_cross_track,navigation-deception,wrong-turn / turn-by-turn navigation spoofing category,cross-track displacement that would pull guidance toward a wrong turn,120,104,26,0,94,0.9038461538461539,0.0,0.9038461538461539,0.0,27,27,11,11,280.495,331.4,850.6
px4_climb,nav_overshoot_along_track,navigation-deception,overshoot / route-progress manipulation category,along-track displacement that makes the vehicle believe it is farther along route,120,104,22,0,98,0.9423076923076923,0.0,0.9423076923076923,0.0,23,23,7,7,259.51666666666654,268.0,339.2
px4_climb,intermittent_pulsed_carryoff,adaptive-spoofer,intermittent spoofing category used to probe detector reset behavior,carry-off is pulsed on and off to test whether persistence survives gaps,120,54,30,0,90,0.7407407407407407,0.7575757575757576,0.7407407407407407,0.7575757575757576,31,31,15,15,262.0966666666667,270.70000000000005,396.4
