dataset_label,profile_label,family,source_basis,description,total_samples,spoof_labeled_samples,trusted_verdicts,flagged_verdicts,rejected_verdicts,anomaly_tpr,anomaly_fpr,rejected_tpr,rejected_fpr,first_anomaly_sample_index,first_rejected_sample_index,samples_from_onset_to_first_anomaly,samples_from_onset_to_first_rejection,mean_evaluation_latency_us,p95_evaluation_latency_us,max_evaluation_latency_us
px4_hover,texbat_ds1_static_takeover,TEXBAT-like,TEXBAT static receiver spoofing battery category,abrupt navigation-solution takeover with a large horizontal offset,120,106,14,0,106,1.0,0.0,1.0,0.0,15,15,1,1,268.2441666666667,294.0,417.3
px4_hover,texbat_ds2_overpowered_time_push,TEXBAT-like,TEXBAT ds2-style overpowered carry-off/time-push category,position and receiver-clock error ramp together after takeover,120,105,25,3,92,0.9047619047619048,0.0,0.8761904761904762,0.0,26,29,11,14,306.5191666666669,391.79999999999995,419.7
px4_hover,texbat_ds3_matched_power_slow_carryoff,TEXBAT-like,TEXBAT ds3-style gradual low-magnitude carry-off category,slow coherent position and clock drift intended to stay under one-shot thresholds,120,105,34,0,86,0.819047619047619,0.0,0.819047619047619,0.0,35,35,20,20,296.97166666666664,384.6,394.6
px4_hover,texbat_ds7_phase_aligned_time_push,TEXBAT-like,TEXBAT ds7-style subtle phase-aligned time-push category,small position drift paired with persistent receiver-clock bias,120,105,42,0,78,0.7428571428571429,0.0,0.7428571428571429,0.0,43,43,28,28,289.5175000000001,351.4,473.3
px4_hover,uav_sdr_takeover_30m_10s,UAV attack dataset-like,public UAV attack dataset / GPS-SDR-SIM + SDR spoofing category,moderate carry-off similar to a software-defined spoofer takeover,120,105,25,0,95,0.9047619047619048,0.0,0.9047619047619048,0.0,26,26,11,11,273.3691666666666,344.9,376.3
px4_hover,uav_freeze_or_hold_last_fix,UAV attack dataset-like,GPS disruption followed by stale or held navigation solution category,GPS position is frozen at spoof onset while the inertial reference keeps moving,120,106,39,0,81,0.7641509433962265,0.0,0.7641509433962265,0.0,40,40,26,26,273.72,355.70000000000005,370.90000000000003
px4_hover,nav_wrong_turn_cross_track,navigation-deception,wrong-turn / turn-by-turn navigation spoofing category,cross-track displacement that would pull guidance toward a wrong turn,120,105,25,0,95,0.9047619047619048,0.0,0.9047619047619048,0.0,26,26,11,11,270.53583333333324,324.0,382.79999999999995
px4_hover,nav_overshoot_along_track,navigation-deception,overshoot / route-progress manipulation category,along-track displacement that makes the vehicle believe it is farther along route,120,105,21,0,99,0.9428571428571428,0.0,0.9428571428571428,0.0,22,22,7,7,261.4508333333334,271.8,326.0
px4_hover,intermittent_pulsed_carryoff,adaptive-spoofer,intermittent spoofing category used to probe detector reset behavior,carry-off is pulsed on and off to test whether persistence survives gaps,120,55,27,0,93,0.7818181818181819,0.7692307692307693,0.7818181818181819,0.7692307692307693,28,28,13,13,264.8991666666666,272.1,340.4
