dataset_label,profile_label,family,source_basis,description,total_samples,spoof_labeled_samples,trusted_verdicts,flagged_verdicts,rejected_verdicts,anomaly_tpr,anomaly_fpr,rejected_tpr,rejected_fpr,first_anomaly_sample_index,first_rejected_sample_index,samples_from_onset_to_first_anomaly,samples_from_onset_to_first_rejection,mean_evaluation_latency_us,p95_evaluation_latency_us,max_evaluation_latency_us,max_gps_squared_mahalanobis_distance,max_accumulated_risk,max_horizontal_position_residual_m,max_horizontal_velocity_residual_mps,max_abs_clock_bias_residual_m,max_clock_bias_persistent_score,max_horizontal_residual_persistent_score,max_velocity_residual_persistent_score,max_stale_gps_persistent_score,dominant_signal
px4_turn,texbat_ds1_static_takeover,TEXBAT-like,TEXBAT static receiver spoofing battery category,abrupt navigation-solution takeover with a large horizontal offset,120,105,15,0,105,1.0,0.0,1.0,0.0,16,16,1,1,268.15749999999997,303.3,498.1,492.2576,443.65924,119.4124,12.319282,0.0,0.0,9893.9375,59.50178,0.0,horizontal_position_persistence
px4_turn,texbat_ds2_overpowered_time_push,TEXBAT-like,TEXBAT ds2-style overpowered carry-off/time-push category,position and receiver-clock error ramp together after takeover,120,105,26,2,92,0.8952380952380953,0.0,0.8761904761904762,0.0,27,29,12,14,268.98666666666674,309.09999999999997,392.3,4.2332253,969.6054,43.188606,4.254713,156.6,1572.9976,1156.1837,0.0,0.0,clock_bias_persistence
px4_turn,texbat_ds3_matched_power_slow_carryoff,TEXBAT-like,TEXBAT ds3-style gradual low-magnitude carry-off category,slow coherent position and clock drift intended to stay under one-shot thresholds,120,105,36,0,84,0.8,0.0,0.8,0.0,37,37,22,22,288.13249999999994,334.3,341.5,2.2371557,49.648407,29.79116,4.4016085,34.8,281.18332,1609.0524,0.0,0.0,horizontal_position_persistence
px4_turn,texbat_ds7_phase_aligned_time_push,TEXBAT-like,TEXBAT ds7-style subtle phase-aligned time-push category,small position drift paired with persistent receiver-clock bias,120,105,40,0,80,0.7619047619047619,0.0,0.7619047619047619,0.0,41,41,26,26,267.5700000000001,289.7,620.6999999999999,2.1883628,8.283699,40.350548,4.3418174,13.049999,59.70838,1418.6663,0.0,0.0,horizontal_position_persistence
px4_turn,uav_sdr_takeover_30m_10s,UAV attack dataset-like,public UAV attack dataset / GPS-SDR-SIM + SDR spoofing category,moderate carry-off similar to a software-defined spoofer takeover,120,105,24,0,96,0.9142857142857143,0.0,0.9142857142857143,0.0,25,25,10,10,297.7058333333333,383.6,407.59999999999997,8.449124,8.267876,42.369827,4.738546,0.0,0.0,2672.1868,0.0,0.0,horizontal_position_persistence
px4_turn,uav_freeze_or_hold_last_fix,UAV attack dataset-like,GPS disruption followed by stale or held navigation solution category,GPS position is frozen at spoof onset while the inertial reference keeps moving,120,105,46,0,74,0.7047619047619048,0.0,0.7047619047619048,0.0,47,47,32,32,319.9666666666666,391.5,426.3,11.979585,12.141026,55.741966,8.72588,0.0,0.0,2307.4512,0.0,0.0,horizontal_position_persistence
px4_turn,nav_wrong_turn_cross_track,navigation-deception,wrong-turn / turn-by-turn navigation spoofing category,cross-track displacement that would pull guidance toward a wrong turn,120,105,25,0,95,0.9047619047619048,0.0,0.9047619047619048,0.0,26,26,11,11,266.30000000000007,321.7,375.70000000000005,7.1085725,7.0519743,43.15472,4.6953783,0.0,0.0,2752.7593,0.0,0.0,horizontal_position_persistence
px4_turn,nav_overshoot_along_track,navigation-deception,overshoot / route-progress manipulation category,along-track displacement that makes the vehicle believe it is farther along route,120,105,22,0,98,0.9333333333333333,0.0,0.9333333333333333,0.0,23,23,8,8,258.3316666666667,272.2,332.0,43.47742,43.137524,67.19416,7.1540923,0.0,0.0,4022.5933,0.0,0.0,horizontal_position_persistence
px4_turn,intermittent_pulsed_carryoff,adaptive-spoofer,intermittent spoofing category used to probe detector reset behavior,carry-off is pulsed on and off to test whether persistence survives gaps,120,56,28,0,92,0.7678571428571429,0.765625,0.7678571428571429,0.765625,29,29,14,14,260.9258333333334,272.5,324.5,3.204088,82.53653,59.234924,5.0054154,45.0,137.01839,2285.5376,0.0,0.0,horizontal_position_persistence
