dataset_label,profile_label,family,source_basis,description,total_samples,spoof_labeled_samples,trusted_verdicts,flagged_verdicts,rejected_verdicts,anomaly_tpr,anomaly_fpr,rejected_tpr,rejected_fpr,first_anomaly_sample_index,first_rejected_sample_index,samples_from_onset_to_first_anomaly,samples_from_onset_to_first_rejection,mean_evaluation_latency_us,p95_evaluation_latency_us,max_evaluation_latency_us,max_gps_squared_mahalanobis_distance,max_accumulated_risk,max_horizontal_position_residual_m,max_horizontal_velocity_residual_mps,max_abs_clock_bias_residual_m,max_clock_bias_persistent_score,max_horizontal_residual_persistent_score,max_velocity_residual_persistent_score,max_stale_gps_persistent_score,dominant_signal
px4_forward,texbat_ds1_static_takeover,TEXBAT-like,TEXBAT static receiver spoofing battery category,abrupt navigation-solution takeover with a large horizontal offset,120,104,16,0,104,1.0,0.0,1.0,0.0,17,17,1,1,266.5399999999999,325.90000000000003,347.7,483.07797,434.0477,80.00496,10.033095,0.0,0.0,7502.2856,39.94747,0.0,horizontal_position_persistence
px4_forward,texbat_ds2_overpowered_time_push,TEXBAT-like,TEXBAT ds2-style overpowered carry-off/time-push category,position and receiver-clock error ramp together after takeover,120,104,27,2,91,0.8942307692307693,0.0,0.875,0.0,28,30,12,14,320.34583333333336,383.5,413.3,1.8384295,1056.9484,74.048836,13.059516,163.8,1590.472,1853.1819,0.0,0.0,clock_bias_persistence
px4_forward,texbat_ds3_matched_power_slow_carryoff,TEXBAT-like,TEXBAT ds3-style gradual low-magnitude carry-off category,slow coherent position and clock drift intended to stay under one-shot thresholds,120,104,34,0,86,0.8269230769230769,0.0,0.8269230769230769,0.0,35,35,19,19,303.32750000000016,385.5,395.1,1.2497351,53.154312,98.91212,14.430358,36.4,285.92337,3008.3472,0.0,0.0,horizontal_position_persistence
px4_forward,texbat_ds7_phase_aligned_time_push,TEXBAT-like,TEXBAT ds7-style subtle phase-aligned time-push category,small position drift paired with persistent receiver-clock bias,120,104,43,0,77,0.7403846153846154,0.0,0.7403846153846154,0.0,44,44,28,28,293.96416666666664,397.3,406.2,0.46887377,7.8783927,92.13302,14.348662,13.650001,61.85398,2506.1033,0.0,0.0,horizontal_position_persistence
px4_forward,uav_sdr_takeover_30m_10s,UAV attack dataset-like,public UAV attack dataset / GPS-SDR-SIM + SDR spoofing category,moderate carry-off similar to a software-defined spoofer takeover,120,104,27,0,93,0.8942307692307693,0.0,0.8942307692307693,0.0,28,28,12,12,363.0575000000001,395.1,464.8,5.9479523,5.971684,77.35684,12.613863,0.0,0.0,2170.5596,0.0,0.0,horizontal_position_persistence
px4_forward,uav_freeze_or_hold_last_fix,UAV attack dataset-like,GPS disruption followed by stale or held navigation solution category,GPS position is frozen at spoof onset while the inertial reference keeps moving,120,104,38,0,82,0.7884615384615384,0.0,0.7884615384615384,0.0,39,39,23,23,298.7833333333334,386.90000000000003,397.5,5.7582555,5.751705,119.323265,14.43578,0.0,0.0,4149.894,0.0,0.0,horizontal_position_persistence
px4_forward,nav_wrong_turn_cross_track,navigation-deception,wrong-turn / turn-by-turn navigation spoofing category,cross-track displacement that would pull guidance toward a wrong turn,120,104,26,0,94,0.9038461538461539,0.0,0.9038461538461539,0.0,27,27,11,11,276.1383333333333,377.8,384.0,9.695618,9.631772,110.47878,14.573093,0.0,0.0,4373.1123,0.0,0.0,horizontal_position_persistence
px4_forward,nav_overshoot_along_track,navigation-deception,overshoot / route-progress manipulation category,along-track displacement that makes the vehicle believe it is farther along route,120,104,23,0,97,0.9326923076923077,0.0,0.9326923076923077,0.0,24,24,8,8,334.1133333333334,392.09999999999997,398.7,40.30654,40.212654,50.85965,9.424604,0.0,0.0,2857.2249,0.0,0.0,horizontal_position_persistence
px4_forward,intermittent_pulsed_carryoff,adaptive-spoofer,intermittent spoofing category used to probe detector reset behavior,carry-off is pulsed on and off to test whether persistence survives gaps,120,53,30,0,90,0.7358490566037735,0.7611940298507462,0.7358490566037735,0.7611940298507462,31,31,15,15,271.335,287.2,608.0,4.246626,101.71565,89.61992,13.76216,54.600002,127.72318,2587.0676,0.0,0.0,horizontal_position_persistence
